,Peak Coefficient
0,6.746385978405824e-11
1,2.2780377018738724e-09
2,3.730761818685662e-08
3,3.9474658905567206e-07
4,3.032850686080894e-06
5,1.802908397232344e-05
6,8.628531902557635e-05
7,0.00034156014598756126
8,0.0011401945249429914
9,0.003256388553157709
10,0.008044903179926947
11,0.017339780789627453
12,0.032825469150478986
13,0.054866182967516414
14,0.08130331235962557
15,0.10715108006480305
16,0.12589370393260615
17,0.13209180616210064
18,0.12391107164007187
19,0.10399042439057074
20,0.07809706237152766
21,0.05248081781664154
22,0.0315466899606793
23,0.016955052465584437
24,0.008143995109220632
25,0.0034948374411210717
26,0.0013398167374784793
27,0.0004590311606875779
28,0.0001406571501528353
29,3.8594401644005405e-05
30,9.496562278877452e-06
31,2.0988551826746717e-06
32,4.173733297683255e-07
33,7.483222315663413e-08
34,1.2129089062428657e-08
35,1.7833290043020973e-09
36,2.38888685954248e-10
37,2.9312460780849055e-11
38,3.312555501870721e-12
39,3.4627906965565734e-13
40,3.3649230198687184e-14
41,3.0534389343896094e-15
42,2.590150911949307e-16
43,2.07153314678792e-17
44,1.551354875146565e-18
45,1.1063196640998162e-19
46,7.375072001155244e-21
47,4.72970179690003e-22
48,2.823300044801417e-23
49,1.6378307067873435e-24
50,8.790323980804663e-26
51,4.6293088563374476e-27
52,2.2396482456949585e-28
53,1.0723866785015257e-29
54,4.682417147448741e-31
55,2.0375458492603602e-32
56,8.02851454898139e-34
57,3.16711832019217e-35
58,1.124443329650509e-36
59,4.0023054187702526e-38
60,1.2762260466812282e-39
61,4.0684739050666665e-41
62,1.1588286079945839e-42
63,3.2730034043695763e-44
64,8.255128898137511e-46
65,2.033771603606412e-47
66,4.47980662816246e-49
67,9.411221179891156e-51
68,1.7696198014491386e-52
69,3.063768998322804e-54
70,4.723406024572937e-56
71,6.37983252010101e-58
72,7.446869022112202e-60
73,7.113087692223778e-62
74,5.248788221847821e-64
75,2.891380210013181e-66
76,1.1668693447115426e-68
77,3.3897823274868707e-71
78,6.892944941140727e-74
79,9.313017976399239e-77
80,7.51476061491094e-80
81,2.7425664261384564e-83
